FACILITY_ID,FACILITY_NAME,FIPS,COUNTY,NAICS_x,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr,tierID,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS_y,Zip,Num_Empl,State,mactID
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2012,PB - Riley Bark,S (Stoker Boiler),Used Oil,TIER 4,380.0,mmBtu/hr,,,,,0,0,21374,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products Inc.,37087.0,Haywood,322110,2011,PB - Riley Bark,S (Stoker Boiler),Bituminous,TIER 4,380.0,mmBtu/hr,,,,,1180000,134.703196347032,22258,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2013,PB - Riley Bark,S (Stoker Boiler),Bituminous,TIER 4,380.0,mmBtu/hr,,,,,2460909.090909091,280.9256953092569,22259,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2016,PB - Riley Bark,S (Stoker Boiler),Bituminous,TIER 4,380.0,mmBtu/hr,,,,,910909.0909090909,103.9850560398506,22260,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2014,PB - Riley Bark,S (Stoker Boiler),Bituminous,TIER 4,380.0,mmBtu/hr,,,,,1159090.909090909,132.3163138231631,22261,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products Inc.,37087.0,Haywood,322110,2010,PB - Riley Bark,S (Stoker Boiler),Bituminous,TIER 4,380.0,mmBtu/hr,,,,,1233636.363636364,140.8260689082607,22262,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2012,PB - Riley Bark,S (Stoker Boiler),Bituminous,TIER 4,380.0,mmBtu/hr,,,,,1157272.727272727,132.1087588210876,22263,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2015,PB - Riley Bark,S (Stoker Boiler),Bituminous,TIER 4,380.0,mmBtu/hr,,,,,1111818.181818182,126.9198837691988,22264,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2013,PB - Riley Bark,S (Stoker Boiler),Wood and Wood Residuals (dry basis),TIER 4,380.0,mmBtu/hr,,,,,736111.1111111111,84.03094875697616,23397,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
1000230,Blue Ridge Paper Products LLC,37087.0,Haywood,322110,2016,PB - Riley Bark,S (Stoker Boiler),Wood and Wood Residuals (dry basis),TIER 4,380.0,mmBtu/hr,,,,,951388.8888888889,108.6060375443937,23398,Blue Ridge Paper,G11042,1,380.0,7700,Wet Biomass,400,322,28716,>1000,NC,2081
