,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS,Zip,Num_Empl,FIPS
1481,ILUSSGraniteCity,Boiler 4,1,60.0,8592.0,Process Gas,350,331,62040,>1000,17119
1482,ILUSSGraniteCity,Boiler 5,1,60.0,8592.0,Process Gas,350,331,62040,>1000,17119
1483,ILUSSGraniteCity,Boiler 6,1,60.0,8592.0,Process Gas,350,331,62040,>1000,17119
1484,ILUSSGraniteCity,Boiler 7,1,60.0,8592.0,Process Gas,350,331,62040,>1000,17119
1485,ILUSSGraniteCity,Boiler 8,1,60.0,8592.0,Process Gas,350,331,62040,>1000,17119
1486,ILUSSGraniteCity,Boiler 9,1,60.0,8592.0,Process Gas,350,331,62040,>1000,17119
1487,ILMitsubishiMotorsNA,Fire Pump House,2,5.0,8400.0,Gas 1,350,336,61761,>1000,17113
1488,ILMitsubishiMotorsNA,Paint Shop,5,5.0,8400.0,Gas 1,350,336,61761,>1000,17113
1489,ILMitsubishiMotorsNA,Penthouse,5,5.0,8400.0,Gas 1,350,336,61761,>1000,17113
1490,ILNascote,Boilers,3,5.0,8400.0,Gas 1,350,326,62263,500-999,17189
1492,ILNorthAmericanLighting,L42 AMU,1,5.0,8400.0,Gas 1,350,336,62881,500-999,17121
