FACILITY_NAME,ZIP,NAICS,SIC,REPORTING_YEAR,UNIT_NAME,FUEL_TYPE,FUEL_QUANTITY,FUEL_QUANTITY_UOM,Input_Capacity,Unit,Installed_Year
GKN SINTER METALS LLC,15843,,3499,2016,Boiler 1,Natural gas,,,0.14,MMBtu/hr,
GKN SINTER METALS LLC,15843,,3499,2016,Boiler 2,Natural gas,,,0.42,MMBtu/hr,
HERSHEY CO,17603,,2064,2018,350 HP boiler 1,Natural gas/No.2 fuel oil,,,45,MMBtu/hr,
HERSHEY CO,17603,,2064,2018,350 HP boiler 2,Natural gas/No.2 fuel oil,,,45,MMBtu/hr,
HERSHEY CO,17603,,2064,2018,350 HP boiler 3,Natural gas/No.2 fuel oil,,,45,MMBtu/hr,
HERSHEY CO,17603,,2064,2018,500 hp boiler,Natural gas/No.2 fuel oil,,,22,MMBtu/hr,
CHERRY HILL HARDWOODS INC,17086,,2421,2018,Stoker wood fired boiler,Wood,,,9.6,MMBtu/hr,
CHERRY HILL HARDWOODS INC,17086,,2421,2018,Oil-fired boiler,No.2 fuel oil,,,8.2,MMBtu/hr,
HERSHEY CO,17033,,2066,2018,Boiler 1,Natural gas/No.2 fuel oil,,,50,MMBtu/hr,
HERSHEY CO,17033,,2066,2018,Boiler 2,Natural gas/No.2 fuel oil,,,50,MMBtu/hr,
HERSHEY CO,17033,,2066,2018,Boiler 3,Natural gas/No.2 fuel oil,,,50,MMBtu/hr,
ALAN MCILVAIN CO,19061,,2431,2018,Boiler,No.2 fuel oil/Wood waste,,,15,MMBtu/hr,
GEORGIA PACIFIC CORRUGATED LLC,16701,,2653,2018,Boiler (350 hp),Natural gas,,,15.7,MMBtu/hr,
GEORGIA PACIFIC CORRUGATED LLC,16701,,2653,2018,Boiler (500 hp),Natural gas,,,20.922,MMBtu/hr,
TOPFLIGHT CORP,17327,,2759,2018,Raypak boiler,Natural gas,,,3.28,MMBtu/hr,
LSC COMMUNICATIONS INC,17601,,2754,2015,Boiler 1,Natural gas/No.6 fuel oil,,,25,MMBtu/hr,
LSC COMMUNICATIONS INC,17601,,2754,2015,Boiler 2,Natural gas/No.6 fuel oil,,,25,MMBtu/hr,
LSC COMMUNICATIONS INC,17601,,2754,2015,Boiler 3,Natural gas/No.6 fuel oil,,,25,MMBtu/hr,
LSC COMMUNICATIONS INC,17601,,2754,2015,Boiler 4,Natural gas/No.6 fuel oil,,,59,MMBtu/hr,
INGREDION INC,18603,,2046,2017,COLUMBIA NATURAL GAS-FIRED BOILER,Natural gas,,,2.52,MMBtu/hr,
ACPI WOOD PRODUCTS LLC,17844,,2434,2019,E.KEELER BOILER NO. 1,Wood,,,9.299,MMBtu/hr,
ACPI WOOD PRODUCTS LLC,17844,,2434,2019,E.KEELER BOILER NO. 2,Wood,,,9.299,MMBtu/hr,
ELLWOOD CITY FORGE,16117,,3462,2015,Plant boiler,Natural gas,,,6.3,MMBtu/hr,
KEYSTONE PROTEIN CO,17026,,2077,2017,"Boiler 1, 400hp",Natural gas/No.2 fuel oil,,,15,MMBtu/hr,
